path,true_grade,predicted_grade,confidence
490_r1,1,0,0.9997302218737155
474_r2,1,0,0.9988095072831474
474_r1,1,0,0.9987772059778374
441_r1,2,0,0.9985400549229484
476_r1,2,0,0.9983416980716284
423_r1,2,0,0.9957481837250767
470_l2,1,0,0.9954835447162323
423_r2,2,0,0.9950728789264919
458_r1,1,0,0.9938542701108182
408_l2,2,0,0.9908403623577511
485_r1,1,0,0.9904833322515769
455_l1,1,0,0.988451380118598
447_l1,1,0,0.9871683526387547
485_r2,1,0,0.985483799334435
466_r2,1,0,0.9853634106966588
455_r2,2,0,0.9850818474675657
366_l2,3,4,0.9845178734546577
480_r2,1,0,0.9821812290296138
461_r1,1,0,0.9805105253878639
498_l1,2,0,0.9756749992584146
408_r2,2,0,0.974664096521032
466_l1,1,0,0.9743531530978321
455_l2,1,0,0.9739272153376262
440_r2,1,0,0.9731286680350403
427_r1,2,0,0.972797822906026
440_r1,1,0,0.9686480238176638
455_r1,2,0,0.968354795526554
428_r1,2,0,0.9678939667013637
470_l1,1,0,0.9667237580890339
492_l1,2,0,0.9622743654872444
458_r2,1,0,0.9533202599531665
482_l2,1,0,0.9454889938131003
347_r2,4,0,0.944299329184489
480_r1,1,0,0.9385149721503567
444_r2,3,4,0.9360112933509207
499_l1,2,0,0.927835339251144
461_l1,2,0,0.9271561366895634
436_l1,1,0,0.9256212158836408
427_l1,2,0,0.9223403257198853
465_l1,2,0,0.9202206996044099
386_l2,4,0,0.9156467700090143
418_l1,3,0,0.9127138548272719
447_l2,1,0,0.9108868493203284
432_l2,3,0,0.9101483644020287
482_r2,1,0,0.9096648089937616
403_l1,3,4,0.9064309453568449
409_r1,3,4,0.9061614740236591
366_l1,3,4,0.9053481258677714
466_r1,1,0,0.9037692611756118
403_l2,3,4,0.9016437274134257
403_r1,3,4,0.8965817176146139
459_r2,2,0,0.8896150578370665
482_r1,1,0,0.8894319544825044
461_r2,1,0,0.8885604959004758
409_r2,3,4,0.8858240176070195
384_r1,4,0,0.8834086564314757
482_l1,1,0,0.880504088085486
465_l2,2,0,0.8767370113897898
418_l2,3,4,0.870052399495488
476_r2,2,0,0.8680350209274088
391_l2,4,0,0.8601802035838559
463_l2,2,0,0.8463065394195689
389_l2,3,0,0.8407953580124796
444_r1,3,4,0.8358744798513513
456_r1,0,1,0.8356821338469181
368_l2,3,0,0.8229069193890766
443_l2,3,0,0.8225058319673341
423_l1,1,0,0.8106802098277973
426_l1,3,0,0.8104425405770433
368_r1,3,4,0.8070877610727554
408_r1,2,0,0.7969557940282902
389_r1,3,0,0.7922626456345055
387_l2,3,4,0.7880931744075
412_l2,3,2,0.7813532869165439
435_l2,1,0,0.7773777305854972
366_r1,3,4,0.7752781993184961
499_r1,2,0,0.7713646114858731
