path,true_grade,predicted_grade,confidence
f762c272c522,1,2,0.9764680640069151
7ae69d22075a,1,0,0.962233361866753
c3cd0200df79,3,4,0.9609093423796242
6d0c0531083f,3,2,0.944216158320775
a763661f98a5,3,4,0.9190635739758445
cae51154e1ce,1,2,0.8614815004531595
358d2224de73,1,2,0.8549323279222318
697538183db5,3,4,0.8516221915244324
a3d2a0c4cd17,1,2,0.8512688876661741
4f5dd7660b17,0,1,0.8305147704173599
0eb52045349f,1,2,0.8262647142898799
314862758acf,2,1,0.8204206091373107
2bb063318cf1,3,2,0.7955123074237331
2f5c9cdfb333,2,4,0.775296101578422
3f44d749cd0b,0,1,0.7708102749997838
6531070bf03c,2,4,0.7699514378612073
2a47e5b21791,2,1,0.7670962357800837
1bb0ddfe753a,1,2,0.7635137827856148
3c72f580d4ba,1,2,0.7561486617220372
