path,true_grade,predicted_grade,confidence
IDRiD_063,1,0,0.9558859491972219
IDRiD_100,2,1,0.9242673338163677
IDRiD_024,2,1,0.9122167452105591
IDRiD_003,4,1,0.908364703142573
IDRiD_039,0,1,0.8893381193812149
IDRiD_002,4,1,0.861638128943272
IDRiD_012,2,1,0.8572892801964715
IDRiD_026,3,4,0.8569817786606614
IDRiD_096,0,1,0.8495026057822599
IDRiD_042,3,4,0.8459671376286173
IDRiD_082,2,1,0.8425341864422505
IDRiD_025,3,4,0.836977126023241
IDRiD_087,4,2,0.8189001046241053
IDRiD_075,0,1,0.7944916925891181
IDRiD_103,0,1,0.7929354598760321
IDRiD_022,3,2,0.7618064014258723
IDRiD_086,2,1,0.7602338974874933
