path,true_grade,predicted_grade,confidence
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_291.jpg,1,0,0.9996843543161418
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_290.jpg,1,0,0.9963058011022856
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_037.jpg,2,1,0.9573355817338598
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_063.jpg,1,0,0.9558859491972219
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_215.jpg,2,0,0.9552108664849915
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_146.jpg,0,4,0.9457088248665374
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_256.jpg,1,0,0.9287969102791185
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_100.jpg,2,1,0.9242673338163677
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_309.jpg,3,2,0.9218906094113526
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_192.jpg,3,4,0.9185285547714184
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_281.jpg,2,1,0.9157292950224363
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_155.jpg,0,1,0.9156244491059213
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_246.jpg,4,2,0.913096682581688
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_024.jpg,2,1,0.9122167452105591
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_368.jpg,3,2,0.9088165358717368
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_003.jpg,4,1,0.908364703142573
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_201.jpg,2,0,0.906491894484722
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_110.jpg,3,4,0.9049879730350417
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_194.jpg,1,0,0.9037971673477045
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_299.jpg,3,4,0.8959895723049335
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_091.jpg,2,1,0.8941073083103845
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_039.jpg,0,1,0.8893381193812149
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_051.jpg,2,1,0.8856023506066185
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_024.jpg,4,2,0.8669068321682236
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_002.jpg,4,1,0.861638128943272
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_263.jpg,2,1,0.859216511683826
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_012.jpg,2,1,0.8572892801964715
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_026.jpg,3,4,0.8569817786606614
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_080.jpg,2,1,0.8552798812732997
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_386.jpg,0,1,0.8545463292799207
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_282.jpg,2,1,0.8540753743682589
